CIDADE,MEDIA TEMP.,PRECIPITAÇÃO,ESTAÇÃO,LOCALIZAÇÃO
Bauru,"20,18637993","197,6",Outono,"-22.3154, -49.0615"
Bauru,"20,46890451","227,4",Inverno,"-22.3154, -49.0615"
Bauru,"22,15027473","330,6",Primavera,"-22.3154, -49.0615"
Bauru,"23,23998105",776,Verão,"-22.3154, -49.0615"
Dracena,"22,22952509","116,4",Outono,"-21.4834, -51.5335"
Dracena,"22,18212366","159,8",Inverno,"-21.4834, -51.5335"
Dracena,"24,06859389","419,6",Primavera,"-21.4834, -51.5335"
Dracena,"25,03910985","955,8",Verão,"-21.4834, -51.5335"
Registro,"20,27619507","265,6",Outono,"-24.4881, -47.8348"
Registro,"18,3570914",241,Inverno,"-24.4881, -47.8348"
Registro,"21,58883677",474,Primavera,"-24.4881, -47.8348"
Registro,"25,01154779","420,4",Verão,"-24.4881, -47.8348"
Jales,"25,65728745","3,8",Outono,"-20.2682, -50.5489"
Jales,"26,33249497","6,6",Inverno,"-20.2682, -50.5489"
Jales,"24,64817833","285,8",Primavera,"-20.2682, -50.5489"
Jales,"24,32798295","847,8",Verão,"-20.2682, -50.5489"
Ariranha,"25,12762148",0,Outono,"-21.1895, -48.7882"
Ariranha,"25,75190259",0,Inverno,"-21.1895, -48.7882"
Ariranha,"24,07155129",368,Primavera,"-21.1895, -48.7882"
Ariranha,"24,05222538","706,8",Verão,"-21.1895, -48.7882"
Sorocaba,"19,91563492","69,6",Outono,"-23.5062, -47.4559"
Sorocaba,"18,09081541","86,8",Inverno,"-23.5062, -47.4559"
Sorocaba,"20,72660256","446,2",Primavera,"-23.5062, -47.4559"
Sorocaba,"22,71496212","784,6",Verão,"-23.5062, -47.4559"
Presidente Prudente,"21,78490926","197,8",Outono,"-22.1276, -51.3856"
Presidente Prudente,"22,59266055",0,Inverno,"-22.1276, -51.3856"
Presidente Prudente,"23,91948866",349,Primavera,"-22.1276, -51.3856"
Presidente Prudente,"24,76560872",737,Verão,"-22.1276, -51.3856"
Piracicaba,"20,19596593",97,Outono,"-22.725, -47.6476"
Piracicaba,"19,46765233","72,8",Inverno,"-22.725, -47.6476"
Piracicaba,"22,11236264","304,6",Primavera,"-22.725, -47.6476"
Piracicaba,"23,39076705","708,6",Verão,"-22.725, -47.6476"
Avaré,"19,31657272","108,8",Outono,"-23.1045, -48.9397"
Avaré,"18,07382671","217,8",Inverno,"-23.1045, -48.9397"
Avaré,"20,32642463",396,Primavera,"-23.1045, -48.9397"
Avaré,"22,33265403",802,Verão,"-23.1045, -48.9397"
Itapeva,"18,65465184","201,6",Outono,"-23.9676, -48.901"
Itapeva,"16,84610215","251,2",Inverno,"-23.9676, -48.901"
Itapeva,"19,57005495","523,8",Primavera,"-23.9676, -48.901"
Itapeva,"22,0077178","517,8",Verão,"-23.9676, -48.901"
Ibitinga,"20,56578336","66,2",Outono,"-21.7585, -48.8294"
Ibitinga,"20,37558244","89,4",Inverno,"-21.7585, -48.8294"
Ibitinga,"22,72014652","112,4",Primavera,"-21.7585, -48.8294"
Ibitinga,"23,71169508",0,Verão,"-21.7585, -48.8294"
Barretos,"20,82789051","206,8",Outono,"-20.5592, -48.5689"
Barretos,"23,72475341","553,4",Verão,"-20.5592, -48.5689"
Bertioga,"21,63508065","785,8",Outono,"-23.8553, -46.1394"
Bertioga,"20,0685791","295,2",Inverno,"-23.8553, -46.1394"
Bertioga,"22,21199634","974,6",Primavera,"-23.8553, -46.1394"
Bertioga,"25,27964015","1006,2",Verão,"-23.8553, -46.1394"
Barueri,"18,52225177","137,6",Outono,"-23.5113, -46.8768"
Barueri,"18,17495506","45,4",Inverno,"-23.5113, -46.8768"
Barueri,"22,17474699","788,2",Primavera,"-23.5113, -46.8768"
Barueri,"22,11838971","788,8",Verão,"-23.5113, -46.8768"
Cachoeira Paulista,"19,81850358","163,8",Outono,"-22.6737, -44.9973"
Cachoeira Paulista,"18,70031517","94,4",Inverno,"-22.6737, -44.9973"
Cachoeira Paulista,"21,51944444","645,2",Primavera,"-22.6737, -44.9973"
Cachoeira Paulista,"23,30738774","473,8",Verão,"-22.6737, -44.9973"
Barra do Turvo,"14,57204301","405,2",Inverno,"-24.758, -48.5049"
Barra do Turvo,"17,74067797","687,4",Primavera,"-24.758, -48.5049"
Barra do Turvo,"21,12741477",652,Verão,"-24.758, -48.5049"
Tupã,"21,64952724","245,2",Outono,"-21.9384, -50.514"
Tupã,"21,63044693","87,4",Inverno,"-21.9384, -50.514"
Tupã,"24,4784522","720,4",Verão,"-21.9384, -50.514"
São Carlos,"17,78080518","102,8",Outono,"-22.0154, -47.8911"
São Carlos,"19,24231806","104,6",Inverno,"-22.0154, -47.8911"
São Carlos,"21,41336996","484,8",Primavera,"-22.0154, -47.8911"
Marília,"20,5607526","250,2",Outono,"-22.2208, -49.9486"
Marília,"20,67146057",157,Inverno,"-22.2208, -49.9486"
Marília,"22,23118132",363,Primavera,"-22.2208, -49.9486"
Marília,"23,33111556","858,6",Verão,"-22.2208, -49.9486"
Barra Bonita,"20,01575092","91,6",Outono,"-22.4994, -48.5523"
Barra Bonita,"19,69475571","64,6",Inverno,"-22.4994, -48.5523"
Barra Bonita,"22,60714286",421,Primavera,"-22.4994, -48.5523"
Barra Bonita,"24,04550189","614,8",Verão,"-22.4994, -48.5523"
Bragança Paulista,"18,85367713","115,2",Outono,"-22.9523, -46.5425"
Bragança Paulista,"17,96824112","81,6",Inverno,"-22.9523, -46.5425"
Bragança Paulista,"20,03030014","559,2",Primavera,"-22.9523, -46.5425"
Bragança Paulista,"21,98036507","720,6",Verão,"-22.9523, -46.5425"
São Miguel Arcanjo,"15,57104137","25,8",Outono,"-23.8805, -48.0106"
São Miguel Arcanjo,"16,40810932","22,4",Inverno,"-23.8805, -48.0106"
São Miguel Arcanjo,"19,3371337","257,8",Primavera,"-23.8805, -48.0106"
São Miguel Arcanjo,"22,0717803","460,2",Verão,"-23.8805, -48.0106"
Casa Branca,"20,57531362","118,2",Outono,"-21.7701, -47.0919"
Casa Branca,"20,57715054","52,8",Inverno,"-21.7701, -47.0919"
Casa Branca,"22,25050366","317,4",Primavera,"-21.7701, -47.0919"
Casa Branca,"23,18039773","58,8",Verão,"-21.7701, -47.0919"
Ituverava,"20,44062921","146,8",Outono,"-20.345, -47.7861"
Ituverava,"20,86695067",55,Inverno,"-20.345, -47.7861"
Ituverava,"23,39188446","484,6",Primavera,"-20.345, -47.7861"
Ituverava,"23,46131629","942,8",Verão,"-20.345, -47.7861"
Valparaíso,"23,20609343","131,8",Outono,"-21.2287, -50.8673"
Valparaíso,"24,48145363","308,6",Primavera,"-21.2287, -50.8673"
Valparaíso,"25,04881629","654,2",Verão,"-21.2287, -50.8673"
Franca,"20,42139918","187,6",Outono,"-20.5418, -47.4197"
Franca,"20,78988764","60,4",Inverno,"-20.5418, -47.4197"
Franca,"21,94542125","664,4",Primavera,"-20.5418, -47.4197"
Franca,"21,92192235","1162,4",Verão,"-20.5418, -47.4197"
Campos do Jordão,"13,38870968","183,4",Outono,"-22.7386, -45.5921"
Campos do Jordão,"12,38036755",0,Inverno,"-22.7386, -45.5921"
Campos do Jordão,"15,18026557","394,6",Primavera,"-22.7386, -45.5921"
Campos do Jordão,"16,97852063","757,4",Verão,"-22.7386, -45.5921"
